Index,Location,Name,Category,Time,Image,url,Timings
25,T3,Burger King,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=11530504002253391373,Open 24 hours
26,Jewel,Burger King,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Burger+King+-+Changi+Airport/@1.3599792,103.987091,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m5!3m4!1s0x31da3d074eafdf93:0x943ac48e534bf138!8m2!3d1.3599792!4d103.9892797",Open 24 hours
27,Jewel,Café Amazon,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Caf%C3%A9+Amazon/@1.3607049,103.9875477,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987258a3f6e7!4m8!1m2!2m1!1sCaf%C3%A9+Amazon+Jewel+changi+airport!3m4!1s0x31da3d3e095de1e3:0x772fbf102e43520d!8m2!3d1.3607049!4d103.9897364",10 AM - 10 PM
28,Jewel,Café Morozoff,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Morozoff/@1.3606344,103.9878902,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987258a3f6e7!4m8!1m2!2m1!1sCaf%C3%A9+Morozoff+Jewel+changi+airport!3m4!1s0x31da3c897eda7eb9:0xf342d08eae0d160b!8m2!3d1.3606344!4d103.9900789",10 AM - 10 PM
29,Jewel,Café & Meal Muji,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Caf%C3%A9+%26+Meal+MUJI+JEWEL/@1.3607148,103.989151,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc47898720f015825!4m5!3m4!1s0x31da3dabc0374c43:0xd71e4bea7610524!8m2!3d1.3607148!4d103.989151",10 AM - 10 PM
30,T3,Canton Paradise Congee & Noodle Bar,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=15626425642788053296,8 30 AM - 11 PM
31,T1,Cedele,Café/ Bakery,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#20/1.3621224/103.9914803/-67,6 AM - 12 AM
32,Jewel,Cedele Bakery Kitchen,Café/ Bakery,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Cedele/@1.3600458,103.9872712,17z/data=!3m1!5s0x31da3c8963249ae3:0xc4789872824ef378!4m8!1m2!2m1!1sCedele+Bakery+Kitchen+Jewel+changi+airport!3m4!1s0x31da3c8bdbd8a97f:0xa38dcf836635070!8m2!3d1.3600458!4d103.9894599",10 AM - 10 PM
33,T2,Central Thai,Thai,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=14068382028736777050,1030 AM - 11 PM
34,T2,Chee Kei,Cantonese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=17316089112531914369,Open 24 hours
35,T2,Chutney Mary,Indian,24 Hours,https://media-cdn.tripadvisor.com/media/photo-s/0f/46/17/68/outside-view.jpg,https://maps.google.com/?cid=9497790512344108438,Open 24 hours
36,T3,Coffee Boy,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#20/1.3569927/103.9872785/-67,1030 AM - 11 PM
37,T2,Coffee Toast Express,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#20/1.3545093/103.9883185/-67,Open 24 hours
38,Jewel,Coffee@works,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Coffee@Works/@1.3600458,103.9872712,17z/data=!3m1!5s0x31da3c8963249ae3:0xc47898720f015825!4m8!1m2!2m1!1sCoffee@works+Jewel+changi+airport!3m4!1s0x31da3db5297ea253:0x5d58a3bb8d9c53b3!8m2!3d1.3605442!4d103.9893766",10 AM - 11 PM
39,T3,Collin's,Western,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=17676617325681868686,10 AM - 11 PM
40,T3,Colonial Club,Singaporean ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=14132769645676046187,1030 AM - 11 PM
41,Jewel,Commons,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Jewel+Changi+Airport/@1.3602201,103.9897834,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc4789872c75c8dc0!4m5!3m4!1s0x31da17be147e79c3:0xb809d0f172526ac3!8m2!3d1.3602201!4d103.9897834",10 AM - 10 PM
42,T2,Crave - The Original Adam Road Nasi Lemak By Selera Rasa,Singaporean ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=2472188877155302029,Open 24 hours
43,T3,Crave - The Original Adam Road Nasi Lemak By Selera Rasa,Singaporean ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#20/1.3569748/103.9873359/-67,1030 AM - 11 PM
44,T1,Crystal Jade La Mian Xiao Long Bao,Chinese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=15477761829375610460,6 AM - 12 AM
46,T3,Curry Times,Chinese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=853598165077994488,7 AM - 11 PM
