Index,Location,Name,Category,Time,Image,url,Timings
135,T1,O' Leary's Sports Restaurant,Beer Bar,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#20/1.3622392/103.991315/-67,Open 24 hours
136,T2,O' Leary's Sports Bar & Grill,Beer Bar,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#20/1.3547192/103.9895757/-67,Open 24 hours
137,Jewel,O'tah,Singaporean ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/O%E2%80%99TAH/@1.3604686,103.9872305,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sO'tah+Jewel+changi+airport!3m4!1s0x31da3c8bd149cfb5:0x53dd9a0540aed560!8m2!3d1.3604686!4d103.9894192",7 AM - 12 AM
138,T3,Old Chang Kee,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Old+Chang+Kee/@1.3548485,103.983681,15.38z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sold+chang+kee+near+T3+Departure!3m4!1s0x0:0xd8da0438623dd460!8m2!3d1.3602484!4d103.9893106",7 AM - 11 PM
139,T2,Old Chang Kee,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=1594540411073828475,6 AM - 1 AM
140,Jewel,Old Chang Kee,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Old+Chang+Kee/@1.3604686,103.9872305,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sOld+Chang+Kee+Jewel+changi+airport!3m4!1s0x31da3c8bd0827aef:0xd8da0438623dd460!8m2!3d1.3602487!4d103.9893109",7 AM - 12 AM
141,T4,Old Street Bak Kut The,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Old+Street+Bak+Kut+Teh/@1.3373034,103.982482,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3cc7a1cabcff:0xd57c495af284eff9!8m2!3d1.3373034!4d103.982482",7 AM - 11 PM
142,T3,Old Town White Coffee,Coffee,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Old+Town+White+Coffee/@1.3576108,103.9876087,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3c8d43524bb1:0x9d5913054b12aaa8!8m2!3d1.3576108!4d103.9876087",Open 24 hours
143,T2,Orchid Café & Bar,Café/Beer Bar,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/ORCHID+Cafe+%26+Bar/@1.3538638,103.9869566,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3d011f39a33d:0x517627be7edb50c5!8m2!3d1.3538638!4d103.9891453",Open 24 hours
144,T1,PappaMia,Multiple Cuisines,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=11073754379668051077,7 AM - 11 PM
145,Jewel,Paris Classic,Chinese,2-3 hours,https://thezonghan.com/wp-content/uploads/2019/04/DSCF1336_editied_featured.jpg,http://www.changiairport.com/en/dine/dining-directory.html#/filter?tab=all,10 AM - 10 PM
146,T3,Paris Dynasty,Chinese,2-3 hours,http://365days2play.com/photos/2019/04/Jewel-Changi-Airport-Cafes-14.jpg,"https://www.google.com/maps/place/Paradise+Dynasty+at+Changi+Airport+T3/@1.356041,103.9847913,17z/data=!4m8!1m2!2m1!1sParisDynasy+-+T3!3m4!1s0x0:0x4da5226e8e0e567b!8m2!3d1.3560412!4d103.9869797",7 AM - 11 PM
147,T2,Paris Baguette,Chinese,2-3 hours,http://365days2play.com/photos/2019/04/Jewel-Changi-Airport-Cafes-14.jpg,"https://www.google.com/maps/place/Paris+Baguette+-+T2+Arrival/@1.354567,103.9863527,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3c931bd09a4b:0xf8d83d8e666ff5c2!8m2!3d1.354567!4d103.9885414",Open 24 hours
148,T3,Paris Baguette,Chinese,2-3 hours,http://365days2play.com/photos/2019/04/Jewel-Changi-Airport-Cafes-14.jpg,http://www.changiairport.com/en/dine/dining-directory/paris-baguette.html,Open 24 hours
149,T4,Paris Baguette,Chinese,2-3 hours,http://365days2play.com/photos/2019/04/Jewel-Changi-Airport-Cafes-14.jpg,"https://www.google.com/maps/place/Paris+Baguette+-+T4+Arrival/@1.3372954,103.9829081,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3cc75d80b951:0x947f248e7ad8b3a0!8m2!3d1.3372954!4d103.9829081",Open 24 hours
150,Jewel,Paris Baguette Signature,Chinese,2-3 hours,http://365days2play.com/photos/2019/04/Jewel-Changi-Airport-Cafes-14.jpg,"https://www.google.com/maps/place/Paris+Baguette/@1.3603223,103.9814276,15z/data=!3m1!5s0x31da3c8963249ae3:0xc4789872c75c8dc0!4m8!1m2!2m1!1sParis+Baguette+!3m4!1s0x31da3dc83105aa93:0xdeb2b56e29498c18!8m2!3d1.3603223!4d103.9901823",Open 24 hours
151,T1,Paul,Bakery,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/PAUL/@1.3628853,103.9869707,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3c8ce4e4a58b:0xd64c3aa757273417!8m2!3d1.3628853!4d103.9891594",Open 24 hours
152,Jewel,Pazzion Café,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/PAZZION+Caf%C3%A9/@1.3603967,103.9897084,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc4789872824ef378!4m5!3m4!1s0x31da3c8bd7b27971:0xb56020e17d567d04!8m2!3d1.3603967!4d103.9897084",10 AM - 10 PM
153,T2,Peach Garden Chinese Dining,Chinese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=13354473904308172498,1030 AM - 11 PM
154,T2,Penang Culture,Malay,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=3811980734245930515,1030 AM - 11 PM
155,T2,Pezzo,Italian/Pizzas,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=4084580906891195557,Open 24 hours
156,T2,Pho Street,Vietnamese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Pho+Street/@1.3546462,103.9870793,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3c8de5cd78a7:0x22403459db57aa3b!8m2!3d1.3546462!4d103.989268",Open 24 hours
157,Jewel,Pink Fish,Seafood,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Pink+Fish/@1.3599423,103.9895309,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc4789872824ef378!4m5!3m4!1s0x31da3dfe80948079:0xbcef20037f6cd66e!8m2!3d1.3599423!4d103.9895309",10 AM - 10 PM
158,Jewel,PizzaExpress,Italian/Pizzas,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/PizzaExpress/@1.3565323,103.9860361,16.09z/data=!3m1!5s0x31da3c8963249ae3:0xc47898722a032b44!4m8!1m2!2m1!1sPizzaExpress!3m4!1s0x0:0x7d3528b44ac33e5b!8m2!3d1.3599641!4d103.9902346",10 AM - 10 PM
159,Jewel,PizzaMaru,Italian/Pizzas,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Pizzamaru/@1.3603682,103.9877737,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987258a3f6e7!4m8!1m2!2m1!1sPizzaMaru+jewel+Changi+Airport!3m4!1s0x0:0x8836f48ba8188eda!8m2!3d1.3605165!4d103.9901414",10 AM - 10 PM
160,Jewel,Potato Corner,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Potato+Corner/@1.3602609,103.9895525,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m5!3m4!1s0x31da3c8bd760a665:0xee5bc136cf54e334!8m2!3d1.3602609!4d103.9895525",7 AM - 12 AM
161,Jewel ,Pow Sing,Singaporean ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Pow+Sing+Restaurant+(Jewel+Changi+Airport)/@1.3624381,103.8635753,17z/data=!4m8!1m2!2m1!1sPow+Sing+jewel+changi!3m4!1s0x31da17bbeabe83f7:0xd3d2433b4badda56!8m2!3d1.3624381!4d103.865764",7 AM - 12 AM
162,T3,Pret A Manager,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Pret+A+Manger+(Terminal+3)/@1.3573202,103.9862622,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3c8ce404a83f:0xc5083d9388648462!8m2!3d1.3573202!4d103.9862622",6 AM - 1 AM
163,Jewel,Prive,Multiple Cuisines,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Priv%C3%A9/@1.3605866,103.9897338,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc4789872f4d1d33a!4m5!3m4!1s0x31da17cc4efba717:0x2e14a99706a3bdeb!8m2!3d1.3605866!4d103.9897338",10 AM - 12 AM
164,Jewel,Project Pizza,Italian/Pizzas,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Project+Pizza/@1.3623388,103.9904613,17z/data=!4m8!1m2!2m1!1sProject+Pizza+Sing+jewel+changi!3m4!1s0x31da3d5387afcc8f:0x7c9935f554669794!8m2!3d1.3644202!4d103.9915308",7 AM - 12 AM
165,Jewel,Putien,Singaporean ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Putian/@1.3598295,103.987814,17z/data=!3m1!5s0x31da3c8963249ae3:0xc47898720f015825!4m8!1m2!2m1!1sPutienProject+Pizza+Sing+jewel+changi!3m4!1s0x31da3d2ab9c67a31:0x5a4eef9500dc04a3!8m2!3d1.3598295!4d103.9900027",10 AM - 10 PM
166,T3,Ramen Champion & Hokkaido Paradise,Japanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=6336560480812511911,1030 AM - 11 PM
167,Jewel,Rumours Bar & Grill,Beer Bar,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Rumours+Bar+%26+Grill/@1.3608595,103.9896683,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc4789872f4d1d33a!4m5!3m4!1s0x31da3dfee89278b7:0xc0a456fd42742993!8m2!3d1.3608595!4d103.9896683",9 AM - 3 AM
168,T2,Rustichelli & Mangione,Italian/Pizzas,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#20/1.3554113/103.9899471/-67,6 AM -1 AM
169,T3,Saap Saap Thai,Thai ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Saap+Saap+Thai/@1.3570016,103.9653778,14z/data=!3m1!5s0x31da3c8963249ae3:0xc4789872824ef378!4m8!1m2!2m1!1sSaap+Saap+Thai+T3!3m4!1s0x31da3d6986a3cf09:0x9ab0d21719f3beca!8m2!3d1.3599818!4d103.9899633",10 AM - 1 AM
170,Jewel,Saap Saap Thai,Thai ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Saap+Saap+Thai/@1.3599818,103.9899633,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc4789872824ef378!4m5!3m4!1s0x31da3d6986a3cf09:0x9ab0d21719f3beca!8m2!3d1.3599818!4d103.9899633",10 AM - 10 PM
171,T3,Saap Saap Thai Desserts,Desserts,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Saap+Saap+Thai/@1.3570016,103.9653778,14z/data=!3m1!5s0x31da3c8963249ae3:0xc4789872824ef378!4m8!1m2!2m1!1sSaap+Saap+Thai+T3!3m4!1s0x31da3d6986a3cf09:0x9ab0d21719f3beca!8m2!3d1.3599818!4d103.9899633",10 AM - 1 AM
172,Jewel,Sama Sama by Tok Tok,Indonesian,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Sama+Sama+by+Tok+Tok/@1.3602658,103.9896011,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc47898722a032b44!4m5!3m4!1s0x31da3d5fd2ded7ab:0x9797cb5f98e60e62!8m2!3d1.3602658!4d103.9896011",10 AM - 10 PM
173,Jewel,Samsui ,Chinese,2-3 hours,https://thegardennom.files.wordpress.com/2014/08/img_9872.jpg,"https://www.google.com/maps/place/Samsui/@1.3597751,103.9883063,17z/data=!3m1!5s0x31da3c8963249ae3:0xc47898722a032b44!4m8!1m2!2m1!1sSamsui++jewel+changi!3m4!1s0x31da3d5add9344d7:0xab14796228f06c83!8m2!3d1.3597751!4d103.990495",10 AM - 10 PM
174,Jewel,Sankranti,Indian,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Sankranti+@+Jewel+Changi/@1.3602408,103.9898566,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m5!3m4!1s0x31da3dc2f88c598d:0x443fcbf9d754fa78!8m2!3d1.3602408!4d103.9898566",10 AM - 10 PM
175,Jewel,"Sankranti, Changi Express",Indian,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Sankranti+@+Jewel+Changi/@1.3602408,103.9898566,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m5!3m4!1s0x31da3dc2f88c598d:0x443fcbf9d754fa78!8m2!3d1.3602408!4d103.9898566",7 AM - 12 AM
176,Jewel,Shake Shack,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Shake+Shack/@1.3604452,103.9878435,17z/data=!3m1!5s0x31da3c8963249ae3:0xc47898720f015825!4m8!1m2!2m1!1sShake+Shack++jewel+changi!3m4!1s0x31da3d0bb917469d:0xadcd758857d6811b!8m2!3d1.3604452!4d103.9900322",10 AM - 10 PM
177,Jewel,Shang Social,Chinese,2-3 hours,https://alainlicious.files.wordpress.com/2019/05/img_9821.jpg?w=1905,"https://www.google.com/maps/place/Shang+Social/@1.3599962,103.9894474,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc4789872c75c8dc0!4m5!3m4!1s0x31da3dcbcaa172b7:0x143dea0a299501bc!8m2!3d1.3599962!4d103.9894474",9 AM - 11 PM
178,Jewel,Shiki Hototogitsu Ramen,Japanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Shiki+Hototogisu+Ramen/@1.3599962,103.9894474,17z/data=!3m1!5s0x31da3c8963249ae3:0xc4789872824ef378!4m5!3m4!1s0x31da3d85e22be0e5:0xa008d63bd7fa8f62!8m2!3d1.3600344!4d103.9899804",10 AM - 10 PM
179,Jewel,Signature Koi,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/KOI+Signature/@1.3600344,103.9899804,17z/data=!3m1!5s0x31da3c8963249ae3:0xc4789872c75c8dc0!4m5!3m4!1s0x31da3d7cdf98bc95:0x4c4debe47e5e2ca0!8m2!3d1.3601374!4d103.9903629",Open 24 hours
180,T1,Simple Eats,Thai ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=1516507568782601623,6 AM - 12 AM
181,T3,Singapore Food Street,Singaporean ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Singapore+Food+Street/@1.3573165,103.9864513,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3c8cf3369f61:0x6415c0a08631a39a!8m2!3d1.3573165!4d103.9864513",Open 24 hours
182,T3,So Pho,Vietnamese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/So+Pho/@1.360203,103.9894568,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc4789872824ef378!4m5!3m4!1s0x31da3d0debb1a083:0xd2a05affb5f5e995!8m2!3d1.360203!4d103.9894568",1030 AM - 11 PM
183,Jewel,So Pho,Vietnamese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/So+Pho/@1.360203,103.9894568,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc4789872824ef378!4m5!3m4!1s0x31da3d0debb1a083:0xd2a05affb5f5e995!8m2!3d1.360203!4d103.9894568",10 AM - 10 PM
184,Jewel,Song Fa Buk Kut The,Singaporean ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Song+Fa+Bak+Kut+Teh/@1.3604161,103.9809656,15z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sSong+Fa+Buk+Kut+The++jewel+changi!3m4!1s0x31da3d8630336207:0x32ecf8d5ee0e8cef!8m2!3d1.3604161!4d103.9897203",1030 AM - 11 PM
185,T2,Soup Heritage Restaurant,Chinese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=14917276435202274316,1030 AM - 11 PM
186,T1,Starbucks,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Starbucks/@1.3602641,103.9881434,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc4789872c75c8dc0!4m5!3m4!1s0x31da3dc1dc02fc81:0x3d525a61ad806cc2!8m2!3d1.3602641!4d103.9903321",Open 24 hours
187,T2,Starbucks,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Starbucks/@1.3644202,103.982776,15z/data=!3m1!5s0x31da3c8963249ae3:0xc4789872c75c8dc0!4m8!1m2!2m1!1sStarbucks+t2!3m4!1s0x31da3c89a8840279:0x65bb4c8cf1d8dd61!8m2!3d1.3602641!4d103.9903318",Open 24 hours
188,T3,Starbucks,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Starbucks/@1.3555805,103.9861962,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3c89f459de57:0x5fa1c2d282223b77!8m2!3d1.3555805!4d103.9861962",Open 24 hours
189,T4,Starbucks,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Starbucks/@1.3385211,103.9836394,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3c9499cf21b1:0xcb6b1d4f66b87a66!8m2!3d1.3385211!4d103.9836394",Open 24 hours
190,T2,Straits Food Village,Multiple Cuisines,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Straits+Food+Village/@1.3550383,103.9868131,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3c8e7606b7a5:0xf3b9430caaa0209c!8m2!3d1.3550383!4d103.9890018",Open 24 hours
191,T2,Stuff'd,Mexican/Turkish,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=9618668604211648026,Open 24 hours
192,T3,Stuff'd,Mexican/Turkish,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Stuff'd/@1.3578973,103.9809176,15z/data=!4m8!1m2!2m1!1sStuff'd+T3!3m4!1s0x0:0x708732a20544a355!8m2!3d1.3559929!4d103.9862743",1030 AM - 11 PM
193,Jewel,Stuff'd,Mexican/Turkish,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/STUFF'D/@1.3601864,103.9807584,15z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sStuff'd+++jewel+changi!3m4!1s0x31da3c8bd9edcf6f:0xb29b0c767b423609!8m2!3d1.3601864!4d103.9895131",7 AM - 12 AM
194,Jewel,Suage Hokkaido Soup Curry,Japanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Suage+Hokkaido+Soup+Curry/@1.3598943,103.9903898,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc47898722a032b44!4m5!3m4!1s0x31da3c896663f88d:0xaced816845a8d021!8m2!3d1.3598943!4d103.9903898",10 AM - 10 PM
195,Jewel,Subway,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Subway/@1.3598079,103.9875091,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sSubway+jewel+changi!3m4!1s0x31da3c8a1d5b365b:0x4d75059b9004bdb4!8m2!3d1.3598079!4d103.9896978",10 AM - 12 AM
196,T2,Subway,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=5581373478889897396,Open 24 hours
197,T4,Sushi Goshin,Chinese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Sushi+Goshin/@1.3370909,103.9829048,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3cc7995dc143:0x7a91c350c54f589a!8m2!3d1.3370909!4d103.9829048",1030 AM - 11 PM
198,Jewel,Sushi Tei,Japanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Sushi+Tei/@1.3597605,103.9893616,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc47898722a032b44!4m5!3m4!1s0x31da3c8bddb8f751:0x29bfe64fb0e9bcd!8m2!3d1.3597605!4d103.9893616",10 AM - 10 PM
199,Jewel,Swatow Kitchen,Seafood,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Swatow/@1.3601999,103.9872962,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sSwatow+Kitchen+jewel+changi!3m4!1s0x31da3c8bd9f133e9:0xea6e9b351381af43!8m2!3d1.3601999!4d103.9894849",7 AM - 12 AM
