Index,Location,Name,Category,Image,Timings
124,T1,Guardian Health and Beauty,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-gadget_plus.jpg,7 AM - 11 PM
125,T2,Guardian Health and Beauty,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-gadget_plus.jpg,10 AM - 10 PM
126,T3,Guardian Health and Beauty,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/gg5_logo.jpg,10 AM - 10 PM
127,T2,Hertz,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/gift_by_changiairport_60x60.jpg,10 AM - 10 PM
128,T3,Hertz,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1109.jpg,6 AM - 1 AM
129,Jewel,Honeyworld,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1109.jpg,6 AM - 1 AM
130,T3,House of Seafood,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1109.jpg,6 AM - 12 AM
131,Jewel,HSBC,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1109.jpg,10 AM - 10 PM
132,Jewel,Hugo,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/giordano_ladies_brand_logo_size_2.jpg,10 AM - 10 PM
133,Jewel,In Good Company,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/gnc_brand_logo_size_2.png,10 AM - 10 PM
134,Jewel,Iroo,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1490.png,Open 24 Hours
135,T1,Irvins Salted Egg,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1490.png,Open 24 Hours
136,T2,Irvins Salted Egg,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1490.png,10 AM - 11 PM
137,Jewel,Irvins Salted Egg,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-hertz.jpg,7 AM - 11 PM
138,Jewel,Jack Wills,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1110.png,7 AM - 11 PM
139,T3,Jon Louis,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/honey_world_brand_logo_size_2.jpg,10 AM - 10 PM
140,L1,Jw360,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-house_of_seafood.jpg,10 AM - 10 PM
141,Jewel,K.Minamoto,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/HSBC_New_60x60.jpg,10 AM - 7 PM
142,T1,Kaboom,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/hugo-boss-logo.jpg,9 AM - 11 PM
143,T2,Kaboom,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/ingoodcompany_brand%20logo%20size%202.png,9 AM - 11 PM
144,T3,Kaboom,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/iroo_brand_logo_size_2.jpg,9 AM - 11 PM
145,T4,Kaboom,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1459.png,6 AM - 12 AM
146,Jewel,Kappa,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1459.png,6 AM - 1 AM
147,Jewel,Kate Spade,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1459.png,6 AM - 1 AM
148,T3,Kidztime!,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1459.png,7 AM - 12 AM
149,T1,Kidztime!,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1110.png,10 AM - 10 PM
150,Jewel,Kiehl's,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/jw360_logo.jpg,9 AM - 11 PM
151,Jewel,Kimoj,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/minamoto_kitchoan_brand_logo_size_2.png,10 AM - 10 PM
152,T3,Kinderplay,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1486.jpg,6 AM - 12 AM
153,Jewel,Kipling,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1486.jpg,6 AM - 1 AM
154,Jewel,Klosh,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1486.jpg,6 AM - 1 AM
155,Jewel,L'eclair Patisserie,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1486.jpg,7 AM - 11 PM
156,T1,Lacoste,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/kappa_brand_logo_size_2.jpg,10 AM - 10 PM
157,T2,Lacoste,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/katespade_brand_logo_size_2.png,9 AM - 11 PM
